district_geoid,district_state,district_number,county_fips,overlap_weight
0101,01,01,01003,0.277401
0101,01,01,01053,0.140651
0101,01,01,01097,0.214506
0101,01,01,01099,0.178963
0101,01,01,01129,0.188478
0102,01,02,01001,0.057116
0102,01,02,01005,0.085033
0102,01,02,01011,0.059841
0102,01,02,01013,0.07464
0102,01,02,01031,0.065238
0102,01,02,01035,0.081696
0102,01,02,01039,0.099019
0102,01,02,01041,0.058501
0102,01,02,01045,0.053913
0102,01,02,01051,0.059428
0102,01,02,01053,0.013385
0102,01,02,01061,0.055197
0102,01,02,01067,0.053975
0102,01,02,01069,0.055711
0102,01,02,01101,0.062733
0102,01,02,01109,0.064573
0103,01,03,01015,0.073393
0103,01,03,01017,0.072263
0103,01,03,01019,0.06705
0103,01,03,01021,0.019575
0103,01,03,01027,0.07316
0103,01,03,01029,0.067847
0103,01,03,01037,0.078846
0103,01,03,01081,0.073593
0103,01,03,01087,0.073729
0103,01,03,01111,0.070324
0103,01,03,01113,0.077668
0103,01,03,01115,0.076504
0103,01,03,01121,0.089253
0103,01,03,01123,0.086795
0104,01,04,01033,0.067335
0104,01,04,01043,0.083436
0104,01,04,01049,0.088244
0104,01,04,01055,0.060766
0104,01,04,01057,0.071279
0104,01,04,01059,0.071987
0104,01,04,01075,0.068686
0104,01,04,01077,0.037369
0104,01,04,01079,0.078433
0104,01,04,01093,0.0843
0104,01,04,01095,0.064257
0104,01,04,01125,0.064466
0104,01,04,01127,0.089829
0104,01,04,01133,0.069611
0105,01,05,01071,0.321011
0105,01,05,01077,0.100929
0105,01,05,01083,0.166746
0105,01,05,01089,0.2387
0105,01,05,01103,0.172614
0106,01,06,01007,0.193476
0106,01,06,01009,0.200445
0106,01,06,01021,0.16512
0106,01,06,01073,0.196829
0106,01,06,01117,0.24413
0107,01,07,01023,0.084027
0107,01,07,01025,0.113917
0107,01,07,01047,0.09003
0107,01,07,01063,0.059517
0107,01,07,01065,0.059238
0107,01,07,01073,0.043994
0107,01,07,01085,0.06587
0107,01,07,01091,0.089861
0107,01,07,01101,0.012183
0107,01,07,01105,0.066199
0107,01,07,01107,0.081077
0107,01,07,01119,0.083139
0107,01,07,01125,0.06928
0107,01,07,01131,0.08167
0200,02,00,02013,0.012233
0200,02,00,02016,0.007693
0200,02,00,02020,0.002989
0200,02,00,02050,0.071148
0200,02,00,02060,0.000844
0200,02,00,02063,0.016689
0200,02,00,02066,0.043242
0200,02,00,02068,0.022138
0200,02,00,02070,0.032107
0200,02,00,02090,0.012845
0200,02,00,02100,0.004104
0200,02,00,02105,0.01148
0200,02,00,02110,0.004735
0200,02,00,02122,0.02805
0200,02,00,02130,0.008506
0200,02,00,02150,0.011714
0200,02,00,02158,0.029906
0200,02,00,02164,0.041735
0200,02,00,02170,0.043268
0200,02,00,02180,0.040225
0200,02,00,02185,0.155552
0200,02,00,02188,0.062455
0200,02,00,02195,0.00508
0200,02,00,02198,0.009225
0200,02,00,02220,0.005026
0200,02,00,02230,0.00076
0200,02,00,02240,0.043485
0200,02,00,02275,0.004476
0200,02,00,02282,0.01335
0200,02,00,02290,0.254938
0401,04,01,04013,1.0
0402,04,02,04001,0.191905
0402,04,02,04005,0.319028
0402,04,02,04007,0.081526
0402,04,02,04009,0.02887
0402,04,02,04013,0.002566
0402,04,02,04015,0.016133
0402,04,02,04017,0.170504
0402,04,02,04021,0.050267
0402,04,02,04025,0.139201
0403,04,03,04013,1.0
0404,04,04,04013,1.0
0405,04,05,04013,0.5624
0405,04,05,04021,0.4376
0406,04,06,04003,0.421595
0406,04,06,04009,0.214542
0406,04,06,04011,0.134555
0406,04,06,04019,0.130107
0406,04,06,04021,0.099201
0407,04,07,04003,0.028399
0407,04,07,04013,0.195608
0407,04,07,04019,0.480457
0407,04,07,04021,0.058202
0407,04,07,04023,0.080184
0407,04,07,04027,0.15715
0408,04,08,04013,1.0
0409,04,09,04012,0.193573
0409,04,09,04013,0.139955
0409,04,09,04015,0.533408
0409,04,09,04027,0.133064
0501,05,01,05001,0.049982
0501,05,01,05005,0.027906
0501,05,01,05009,0.029709
0501,05,01,05017,0.03209
0501,05,01,05021,0.032203
0501,05,01,05031,0.035625
0501,05,01,05035,0.030875
0501,05,01,05037,0.031049
0501,05,01,05041,0.037341
0501,05,01,05049,0.031136
0501,05,01,05055,0.029085
0501,05,01,05063,0.038474
0501,05,01,05065,0.029228
0501,05,01,05067,0.03192
0501,05,01,05075,0.029599
0501,05,01,05077,0.030217
0501,05,01,05079,0.028185
0501,05,01,05085,0.038864
0501,05,01,05089,0.030058
0501,05,01,05093,0.045446
0501,05,01,05095,0.030603
0501,05,01,05107,0.034779
0501,05,01,05111,0.038202
0501,05,01,05117,0.032621
0501,05,01,05119,0.005906
0501,05,01,05121,0.032842
0501,05,01,05123,0.031979
0501,05,01,05129,0.033544
0501,05,01,05135,0.03046
0501,05,01,05137,0.030551
0501,05,01,05147,0.02952
0502,05,02,05023,0.104488
0502,05,02,05029,0.104103
0502,05,02,05045,0.122084
0502,05,02,05105,0.104001
0502,05,02,05119,0.099962
0502,05,02,05125,0.136473
0502,05,02,05141,0.133838
0502,05,02,05145,0.195049
0503,05,03,05007,0.203549
0503,05,03,05015,0.151256
0503,05,03,05033,0.142932
0503,05,03,05087,0.200309
0503,05,03,05131,0.075895
0503,05,03,05143,0.226059
0504,05,04,05003,0.040813
0504,05,04,05011,0.028627
0504,05,04,05013,0.02772
0504,05,04,05019,0.038188
0504,05,04,05025,0.026367
0504,05,04,05027,0.033782
0504,05,04,05039,0.029428
0504,05,04,05043,0.036543
0504,05,04,05047,0.026854
0504,05,04,05051,0.029883
0504,05,04,05053,0.027865
0504,05,04,05057,0.032068
0504,05,04,05059,0.027118
0504,05,04,05061,0.0259
0504,05,04,05069,0.03847
0504,05,04,05071,0.029149
0504,05,04,05073,0.023349
0504,05,04,05081,0.023427
0504,05,04,05083,0.031271
0504,05,04,05091,0.027519
0504,05,04,05097,0.034417
0504,05,04,05099,0.027243
0504,05,04,05101,0.036208
0504,05,04,05103,0.032312
0504,05,04,05109,0.026474
0504,05,04,05113,0.037785
0504,05,04,05115,0.035769
0504,05,04,05119,0.0049
0504,05,04,05127,0.039373
0504,05,04,05131,0.009486
0504,05,04,05133,0.024853
0504,05,04,05139,0.045821
0504,05,04,05149,0.041021
0601,06,01,06007,0.062004
0601,06,01,06011,0.043599
0601,06,01,06021,0.049784
0601,06,01,06035,0.172064
0601,06,01,06049,0.149593
0601,06,01,06089,0.143049
0601,06,01,06093,0.237893
0601,06,01,06101,0.022835
0601,06,01,06103,0.111738
0601,06,01,06115,0.007441
0602,06,02,06015,0.077173
0602,06,02,06023,0.273662
0602,06,02,06041,0.039914
0602,06,02,06045,0.268955
0602,06,02,06075,1e-06
0602,06,02,06097,0.096462
0602,06,02,06105,0.243833
0603,06,03,06003,0.034077
0603,06,03,06017,0.059534
0603,06,03,06027,0.470641
0603,06,03,06051,0.140718
0603,06,03,06057,0.044204
0603,06,03,06061,0.064942
0603,06,03,06063,0.117833
0603,06,03,06067,0.003953
