member_id,name,state,party,chamber,district,govtrack_id,ideology_score_raw,ideology_score_norm,inverse_ideology_score
S383,Dan Sullivan,AK,R,senate,,412665,0.7316712278778527,0.7316712278778527,0.26832877212214734
S288,Lisa Murkowski,AK,R,senate,,300075,0.5085020041083042,0.5085020041083042,0.49149799589169585
A000055,Aderholt,AL,R,house,04,400004,0.6535256489711704,0.6535256489711704,0.3464743510288296
M001212,Moore (AL),AL,R,house,01,456800,0.8758294332991221,0.8758294332991221,0.1241705667008779
P000609,Palmer,AL,R,house,06,412608,0.6717926983916678,0.6717926983916678,0.3282073016083322
R000575,Rogers (AL),AL,R,house,03,400341,0.6332267962431677,0.6332267962431677,0.3667732037568323
S001185,Sewell,AL,D,house,07,412396,0.28052519948769644,0.28052519948769644,0.7194748005123035
S412,Tommy Tuberville,AL,R,senate,,456796,0.8733486632666839,0.8733486632666839,0.12665133673331608
C001087,Crawford,AR,R,house,01,412400,0.6925715371944997,0.6925715371944997,0.3074284628055003
H001072,Hill,AR,R,house,02,412609,0.6397148107791072,0.6397148107791072,0.3602851892208928
S343,John Boozman,AR,R,senate,,400040,0.7637802728824525,0.7637802728824525,0.23621972711754746
S374,Tom Cotton,AR,R,senate,,412508,0.8861851912962895,0.8861851912962895,0.11381480870371052
W000821,Westerman,AR,R,house,04,412610,0.6581950499617869,0.6581950499617869,0.3418049500382131
W000809,Womack,AR,R,house,03,412402,0.6212762752693527,0.6212762752693527,0.3787237247306473
B001302,Biggs,AZ,R,house,05,412683,0.815626545493244,0.815626545493244,0.18437345450675602
G000574,Gallego,AZ,D,house,07,412612,0.4310969401438865,0.4310969401438865,0.5689030598561136
G000565,Gosar,AZ,R,house,09,412397,0.8031800806880272,0.8031800806880272,0.19681991931197285
S406,Mark Kelly,AZ,D,senate,,456794,0.47537644466020024,0.47537644466020024,0.5246235553397998
S001183,Schweikert,AZ,R,house,01,412399,0.5672998318868161,0.5672998318868161,0.4327001681131839
S001211,Stanton,AZ,D,house,04,412753,0.35997183837519214,0.35997183837519214,0.6400281616248078
A000371,Aguilar,CA,D,house,33,412615,0.24183726988177742,0.24183726988177742,0.7581627301182225
S413,Alex Padilla,CA,D,senate,,456856,0.10078204940568498,0.10078204940568498,0.899217950594315
B001300,BarragÃ¡n,CA,D,house,44,412687,0.12722175007887074,0.12722175007887074,0.8727782499211293
B001287,Bera,CA,D,house,06,412512,0.3393335590234381,0.3393335590234381,0.6606664409765619
B001285,Brownley,CA,D,house,26,412516,0.24103128080114317,0.24103128080114317,0.7589687191988568
C000059,Calvert,CA,R,house,41,400057,0.6542136321132023,0.6542136321132023,0.34578636788679773
C001112,Carbajal,CA,D,house,24,412686,0.2994614141277025,0.2994614141277025,0.7005385858722974
C001080,Chu,CA,D,house,28,412379,0.1261127657895432,0.1261127657895432,0.8738872342104568
C001110,Correa,CA,D,house,46,412688,0.34041895696405444,0.34041895696405444,0.6595810430359456
C001059,Costa,CA,D,house,21,400618,0.3827245849356345,0.3827245849356345,0.6172754150643656
D000623,DeSaulnier,CA,D,house,10,412613,0.14036554299234213,0.14036554299234213,0.8596344570076578
G000559,Garamendi,CA,D,house,08,412382,0.24946592877341636,0.24946592877341636,0.7505340712265837
G000585,Gomez,CA,D,house,34,412739,0.18870954979983848,0.18870954979983848,0.8112904502001616
H001090,Harder (CA),CA,D,house,09,412754,0.4571023498622507,0.4571023498622507,0.5428976501377494
H001068,Huffman,CA,D,house,02,412511,0.17689412732255777,0.17689412732255777,0.8231058726774423
I000056,Issa,CA,R,house,48,400196,0.6334020512533883,0.6334020512533883,0.36659794874661167
J000305,Jacobs (CA),CA,D,house,51,456804,0.17731880728113747,0.17731880728113747,0.8226811927188625
K000389,Khanna,CA,D,house,17,412684,0.20124137270553488,0.20124137270553488,0.7987586272944651
K000397,Kim (CA),CA,R,house,40,456802,0.5903713609908038,0.5903713609908038,0.4096286390091962
L000593,Levin (CA),CA,D,house,49,412760,0.2733682673058759,0.2733682673058759,0.7266317326941241
L000582,Lieu,CA,D,house,36,412616,0.20276852499652295,0.20276852499652295,0.797231475003477
L000397,Lofgren,CA,D,house,18,400245,0.2785335288120985,0.2785335288120985,0.7214664711879015
M001163,Matsui,CA,D,house,07,400663,0.24509328495024651,0.24509328495024651,0.7549067150497535
M001177,McClintock,CA,R,house,05,412295,0.6313146581424308,0.6313146581424308,0.3686853418575692
O000019,Obernolte,CA,R,house,23,456801,0.6297561561479477,0.6297561561479477,0.37024384385205233
P000613,Panetta,CA,D,house,19,412685,0.4326116021980656,0.4326116021980656,0.5673883978019344
P000197,Pelosi,CA,D,house,11,400314,0.3332104735898956,0.3332104735898956,0.6667895264101045
P000608,Peters,CA,D,house,50,412523,0.31384916769381915,0.31384916769381915,0.6861508323061809
R000599,Ruiz,CA,D,house,25,412519,0.2916423948403468,0.2916423948403468,0.7083576051596532
S001150,Schiff,CA,D,house,28,400361,0.30736584641852616,0.30736584641852616,0.6926341535814738
S000344,Sherman,CA,D,house,32,400371,0.3004389234146282,0.3004389234146282,0.6995610765853718
S001156,SÃ¡nchez,CA,D,house,38,400355,0.20693994414782657,0.20693994414782657,0.7930600558521734
