member_id,member_name,state,party,chamber,district,votes_cast,pro_labor_votes,key_vote_score
S383,Dan Sullivan,AK,R,senate,,2,0,0.0
S288,Lisa Murkowski,AK,R,senate,,2,0,0.0
Y000033,Young,AK,R,house,00,2,2,1.0
A000055,Aderholt,AL,R,house,04,2,0,0.0
B001274,Brooks,AL,R,house,05,2,0,0.0
C001054,Carl,AL,R,house,01,2,0,0.0
M001212,Moore (AL),AL,R,house,01,2,0,0.0
P000609,Palmer,AL,R,house,06,2,0,0.0
S184,Richard Shelby,AL,R,senate,,2,0,0.0
R000575,Rogers (AL),AL,R,house,03,2,0,0.0
S001185,Sewell,AL,D,house,07,2,2,1.0
S412,Tommy Tuberville,AL,R,senate,,2,0,0.0
C001087,Crawford,AR,R,house,01,2,0,0.0
H001072,Hill,AR,R,house,02,2,0,0.0
S343,John Boozman,AR,R,senate,,2,0,0.0
S374,Tom Cotton,AR,R,senate,,2,0,0.0
W000821,Westerman,AR,R,house,04,2,0,0.0
W000809,Womack,AR,R,house,03,2,0,0.0
B001302,Biggs,AZ,R,house,05,2,0,0.0
G000574,Gallego,AZ,D,house,07,2,2,1.0
G000565,Gosar,AZ,R,house,09,2,0,0.0
G000551,Grijalva,AZ,D,house,07,2,2,1.0
K000368,Kirkpatrick,AZ,D,house,02,2,2,1.0
S403,Kyrsten Sinema,AZ,D,senate,,2,1,0.5
L000589,Lesko,AZ,R,house,08,2,0,0.0
S406,Mark Kelly,AZ,D,senate,,2,2,1.0
O000171,O'Halleran,AZ,D,house,01,2,2,1.0
S001183,Schweikert,AZ,R,house,01,2,0,0.0
S001211,Stanton,AZ,D,house,04,2,2,1.0
A000371,Aguilar,CA,D,house,33,2,2,1.0
S413,Alex Padilla,CA,D,senate,,2,2,1.0
B001300,BarragÃ¡n,CA,D,house,44,2,2,1.0
B001270,Bass,CA,D,house,37,2,2,1.0
B001287,Bera,CA,D,house,06,2,2,1.0
B001285,Brownley,CA,D,house,26,2,2,1.0
C000059,Calvert,CA,R,house,41,2,0,0.0
C001112,Carbajal,CA,D,house,24,2,2,1.0
C001080,Chu,CA,D,house,28,2,2,1.0
C001110,Correa,CA,D,house,46,2,2,1.0
C001059,Costa,CA,D,house,21,2,2,1.0
C001097,CÃ¡rdenas,CA,D,house,29,2,2,1.0
D000623,DeSaulnier,CA,D,house,10,2,2,1.0
S221,Dianne Feinstein,CA,D,senate,,2,2,1.0
E000215,Eshoo,CA,D,house,16,2,2,1.0
G000559,Garamendi,CA,D,house,08,2,2,1.0
G000061,Garcia (CA),CA,R,house,27,2,0,0.0
G000585,Gomez,CA,D,house,34,2,2,1.0
H001090,Harder (CA),CA,D,house,09,2,2,1.0
H001068,Huffman,CA,D,house,02,2,2,1.0
I000056,Issa,CA,R,house,48,2,0,0.0
J000305,Jacobs (CA),CA,D,house,51,2,2,1.0
K000389,Khanna,CA,D,house,17,2,2,1.0
K000397,Kim (CA),CA,R,house,40,2,0,0.0
L000578,LaMalfa,CA,R,house,01,2,0,0.0
L000551,Lee (CA),CA,D,house,12,2,2,1.0
L000593,Levin (CA),CA,D,house,49,2,2,1.0
L000582,Lieu,CA,D,house,36,2,2,1.0
L000397,Lofgren,CA,D,house,18,2,2,1.0
L000579,Lowenthal,CA,D,house,47,2,2,1.0
M001163,Matsui,CA,D,house,07,2,2,1.0
M001165,McCarthy,CA,R,house,20,2,0,0.0
M001177,McClintock,CA,R,house,05,2,0,0.0
M001166,McNerney,CA,D,house,09,2,2,1.0
N000179,Napolitano,CA,D,house,31,2,2,1.0
N000181,Nunes,CA,R,house,22,1,0,0.0
O000019,Obernolte,CA,R,house,23,2,0,0.0
P000613,Panetta,CA,D,house,19,2,2,1.0
P000197,Pelosi,CA,D,house,11,1,1,1.0
P000608,Peters,CA,D,house,50,2,2,1.0
P000618,Porter,CA,D,house,47,2,2,1.0
R000486,Roybal-Allard,CA,D,house,40,2,2,1.0
R000599,Ruiz,CA,D,house,25,2,2,1.0
S001150,Schiff,CA,D,house,28,2,2,1.0
S000344,Sherman,CA,D,house,32,2,2,1.0
S001175,Speier,CA,D,house,14,2,2,1.0
S001135,Steel,CA,R,house,45,2,0,0.0
S001193,Swalwell,CA,D,house,14,2,2,1.0
S001156,SÃ¡nchez,CA,D,house,38,2,2,1.0
T000472,Takano,CA,D,house,39,2,2,1.0
T000460,Thompson (CA),CA,D,house,04,2,2,1.0
T000474,Torres (CA),CA,D,house,35,2,2,1.0
V000129,Valadao,CA,R,house,22,2,0,0.0
V000130,Vargas,CA,D,house,52,2,2,1.0
W000187,Waters,CA,D,house,43,2,2,1.0
B000825,Boebert,CO,R,house,04,2,0,0.0
B001297,Buck,CO,R,house,04,2,0,0.0
C001121,Crow,CO,D,house,06,2,2,1.0
D000197,DeGette,CO,D,house,01,2,2,1.0
S408,John Hickenlooper,CO,D,senate,,2,2,1.0
L000564,Lamborn,CO,R,house,05,2,0,0.0
S330,Michael Bennet,CO,D,senate,,2,2,1.0
N000191,Neguse,CO,D,house,02,2,2,1.0
P000593,Perlmutter,CO,D,house,07,2,2,1.0
S364,Christopher Murphy,CT,D,senate,,2,2,1.0
C001069,Courtney,CT,D,house,02,2,2,1.0
D000216,DeLauro,CT,D,house,03,2,2,1.0
H001081,Hayes,CT,D,house,05,2,2,1.0
H001047,Himes,CT,D,house,04,2,2,1.0
L000557,Larson (CT),CT,D,house,01,2,2,1.0
S341,Richard Blumenthal,CT,D,senate,,2,2,1.0
B001303,Blunt Rochester,DE,D,house,00,2,2,1.0
S337,Christopher Coons,DE,D,senate,,2,1,0.5
S277,Thomas Carper,DE,D,senate,,2,1,0.5
B001257,Bilirakis,FL,R,house,12,2,0,0.0
B001260,Buchanan,FL,R,house,16,2,0,0.0
C001039,Cammack,FL,R,house,03,2,0,0.0
C001066,Castor (FL),FL,D,house,14,2,2,1.0
C001111,Crist,FL,D,house,13,2,2,1.0
D000627,Demings,FL,D,house,10,2,2,1.0
D000610,Deutch,FL,D,house,22,1,1,1.0
D000600,Diaz-Balart,FL,R,house,26,2,1,0.5
D000032,Donalds,FL,R,house,19,2,0,0.0
D000628,Dunn,FL,R,house,02,2,0,0.0
F000462,"Frankel, Lois",FL,D,house,22,2,2,1.0
F000472,"Franklin, C. Scott",FL,R,house,18,2,0,0.0
G000578,Gaetz,FL,R,house,01,2,0,0.0
G000593,Gimenez,FL,R,house,28,2,1,0.5
H000324,Hastings,FL,D,house,20,2,2,1.0
L000586,Lawson (FL),FL,D,house,05,2,2,1.0
S350,Marco Rubio,FL,R,senate,,2,0,0.0
M001199,Mast,FL,R,house,21,2,0,0.0
M001202,Murphy (FL),FL,D,house,07,2,2,1.0
P000599,Posey,FL,R,house,08,1,0,0.0
S404,Rick Scott,FL,R,senate,,2,0,0.0
R000609,Rutherford,FL,R,house,05,2,0,0.0
S000168,Salazar,FL,R,house,27,2,1,0.5
S001200,Soto,FL,D,house,09,2,2,1.0
S001214,Steube,FL,R,house,17,1,0,0.0
W000823,Waltz,FL,R,house,06,2,0,0.0
W000797,Wasserman Schultz,FL,D,house,25,2,2,1.0
W000806,Webster (FL),FL,R,house,11,1,0,0.0
W000808,Wilson (FL),FL,D,house,24,2,2,1.0
A000372,Allen,GA,R,house,12,2,0,0.0
B000490,Bishop (GA),GA,D,house,02,2,2,1.0
B001312,Bourdeaux,GA,D,house,07,2,2,1.0
C001103,Carter (GA),GA,R,house,01,2,0,0.0
C001116,Clyde,GA,R,house,09,2,0,0.0
F000465,Ferguson,GA,R,house,03,2,0,0.0
G000596,Greene (GA),GA,R,house,14,2,0,0.0
H001071,Hice (GA),GA,R,house,10,2,0,0.0
J000288,Johnson (GA),GA,D,house,04,2,2,1.0
S414,Jon Ossoff,GA,D,senate,,2,2,1.0
L000583,Loudermilk,GA,R,house,11,2,0,0.0
M001208,McBath,GA,D,house,06,2,2,1.0
S415,Raphael Warnock,GA,D,senate,,2,2,1.0
S001189,"Scott, Austin",GA,R,house,08,2,0,0.0
S001157,"Scott, David",GA,D,house,13,2,2,1.0
W000788,Williams (GA),GA,D,house,05,2,2,1.0
S353,Brian Schatz,HI,D,senate,,2,2,1.0
C001055,Case,HI,D,house,01,2,2,1.0
K000396,Kahele,HI,D,house,02,2,2,1.0
S361,Mazie Hirono,HI,D,senate,,2,2,1.0
A000378,Axne,IA,D,house,03,2,2,1.0
S153,Charles Grassley,IA,R,senate,,2,0,0.0
F000446,Feenstra,IA,R,house,04,2,0,0.0
H001091,Hinson,IA,R,house,02,2,0,0.0
S376,Joni Ernst,IA,R,senate,,2,0,0.0
M001215,Miller-Meeks,IA,R,house,01,2,0,0.0
F000469,Fulcher,ID,R,house,01,2,0,0.0
S323,James Risch,ID,R,senate,,2,0,0.0
S266,Mike Crapo,ID,R,senate,,2,0,0.0
S001148,Simpson,ID,R,house,02,2,0,0.0
B001295,Bost,IL,R,house,12,1,0,0.0
B001286,Bustos,IL,D,house,17,2,2,1.0
C001117,Casten,IL,D,house,06,2,2,1.0
D000096,"Davis, Danny K.",IL,D,house,07,2,2,1.0
D000619,"Davis, Rodney",IL,R,house,13,2,1,0.5
F000454,Foster,IL,D,house,11,2,2,1.0
G000586,GarcÃ­a (IL),IL,D,house,04,2,2,1.0
K000385,Kelly (IL),IL,D,house,02,2,2,1.0
K000378,Kinzinger,IL,R,house,16,2,1,0.5
K000391,Krishnamoorthi,IL,D,house,08,2,2,1.0
L000585,LaHood,IL,R,house,16,2,0,0.0
M001211,Miller (IL),IL,R,house,15,2,0,0.0
N000192,Newman,IL,D,house,03,2,2,1.0
Q000023,Quigley,IL,D,house,05,2,2,1.0
S253,Richard Durbin,IL,D,senate,,2,2,1.0
R000515,Rush,IL,D,house,01,2,2,1.0
S001145,Schakowsky,IL,D,house,09,2,2,1.0
S001190,Schneider,IL,D,house,10,2,2,1.0
S386,Tammy Duckworth,IL,D,senate,,2,2,1.0
U000040,Underwood,IL,D,house,14,2,2,1.0
B001307,Baird,IN,R,house,04,2,0,0.0
B001299,Banks,IN,R,house,03,2,0,0.0
B001275,Bucshon,IN,R,house,08,2,0,0.0
C001072,Carson,IN,D,house,07,2,2,1.0
H001074,Hollingsworth,IN,R,house,09,2,0,0.0
S397,Mike Braun,IN,R,senate,,2,0,0.0
M001214,Mrvan,IN,D,house,01,2,2,1.0
P000615,Pence,IN,R,house,06,2,0,0.0
S000929,Spartz,IN,R,house,05,2,0,0.0
S391,Todd Young,IN,R,senate,,2,0,0.0
W000813,Walorski,IN,R,house,02,2,0,0.0
D000629,Davids (KS),KS,D,house,03,2,2,1.0
E000298,Estes,KS,R,house,04,2,0,0.0
S347,Jerry Moran,KS,R,senate,,2,0,0.0
L000266,LaTurner,KS,R,house,02,2,0,0.0
M000871,Mann,KS,R,house,01,2,0,0.0
S411,Roger Marshall,KS,R,senate,,2,0,0.0
B001282,Barr,KY,R,house,06,2,0,0.0
C001108,Comer,KY,R,house,01,2,0,0.0
G000558,Guthrie,KY,R,house,02,2,0,0.0
M001184,Massie,KY,R,house,04,2,0,0.0
S174,Mitch McConnell,KY,R,senate,,2,0,0.0
S348,Rand Paul,KY,R,senate,,2,0,0.0
R000395,Rogers (KY),KY,R,house,05,2,0,0.0
Y000062,Yarmuth,KY,D,house,03,2,2,1.0
S373,Bill Cassidy,LA,R,senate,,2,0,0.0
G000577,Graves (LA),LA,R,house,06,2,0,0.0
H001077,Higgins (LA),LA,R,house,03,1,0,0.0
S389,John Kennedy,LA,R,senate,,2,0,0.0
J000299,Johnson (LA),LA,R,house,04,2,0,0.0
S001176,Scalise,LA,R,house,01,2,0,0.0
A000148,Auchincloss,MA,D,house,04,2,2,1.0
C001101,Clark (MA),MA,D,house,05,2,2,1.0
S369,Edward Markey,MA,D,senate,,2,2,1.0
S366,Elizabeth Warren,MA,D,senate,,2,2,1.0
K000375,Keating,MA,D,house,09,2,2,1.0
L000562,Lynch,MA,D,house,08,2,2,1.0
M000312,McGovern,MA,D,house,02,2,2,1.0
M001196,Moulton,MA,D,house,06,2,2,1.0
N000015,Neal,MA,D,house,01,2,2,1.0
P000617,Pressley,MA,D,house,07,2,2,1.0
T000482,Trahan,MA,D,house,03,2,2,1.0
S308,Ben Cardin,MD,D,senate,,2,2,1.0
B001304,Brown,MD,D,house,04,2,2,1.0
S390,Chris Van Hollen,MD,D,senate,,2,2,1.0
H001052,Harris,MD,R,house,01,2,0,0.0
H000874,Hoyer,MD,D,house,05,2,2,1.0
M000687,Mfume,MD,D,house,07,2,2,1.0
R000606,Raskin,MD,D,house,08,2,2,1.0
R000576,Ruppersberger,MD,D,house,02,2,2,1.0
S001168,Sarbanes,MD,D,house,03,2,2,1.0
T000483,Trone,MD,D,house,06,2,2,1.0
S363,Angus King,ME,I,senate,,2,1,0.5
G000592,Golden,ME,D,house,02,2,2,1.0
P000597,Pingree,ME,D,house,01,2,2,1.0
S252,Susan Collins,ME,R,senate,,2,0,0.0
B001301,Bergman,MI,R,house,01,2,0,0.0
S284,Debbie Stabenow,MI,D,senate,,2,2,1.0
D000624,Dingell,MI,D,house,06,2,2,1.0
S380,Gary Peters,MI,D,senate,,2,2,1.0
H001058,Huizenga,MI,R,house,04,2,0,0.0
K000380,Kildee,MI,D,house,08,2,2,1.0
L000581,Lawrence,MI,D,house,14,2,2,1.0
L000592,Levin (MI),MI,D,house,09,2,2,1.0
M001136,McClain,MI,R,house,09,2,0,0.0
M001186,Meijer,MI,R,house,03,2,0,0.0
M001194,Moolenaar,MI,R,house,02,2,0,0.0
S001208,Slotkin,MI,D,house,08,2,2,1.0
S001215,Stevens,MI,D,house,11,2,2,1.0
T000481,Tlaib,MI,D,house,12,2,2,1.0
U000031,Upton,MI,R,house,06,2,1,0.5
W000798,Walberg,MI,R,house,05,2,0,0.0
S311,Amy Klobuchar,MN,D,senate,,2,2,1.0
C001119,Craig,MN,D,house,02,2,2,1.0
E000294,Emmer,MN,R,house,06,2,1,0.5
F000470,Fischbach,MN,R,house,07,2,0,0.0
H001088,Hagedorn,MN,R,house,01,2,0,0.0
M001143,McCollum,MN,D,house,04,2,2,1.0
O000173,Omar,MN,D,house,05,2,2,1.0
P000616,Phillips,MN,D,house,03,2,2,1.0
S001212,Stauber,MN,R,house,08,2,1,0.5
S394,Tina Smith,MN,D,senate,,2,2,1.0
B001224,Bush,MO,D,house,01,2,2,1.0
C001061,Cleaver,MO,D,house,05,2,2,1.0
G000546,Graves (MO),MO,R,house,06,2,0,0.0
H001053,Hartzler,MO,R,house,04,2,0,0.0
S399,Josh Hawley,MO,R,senate,,2,0,0.0
L000576,Long,MO,R,house,07,2,0,0.0
L000569,Luetkemeyer,MO,R,house,03,2,0,0.0
S342,Roy Blunt,MO,R,senate,,2,0,0.0
S001195,Smith (MO),MO,R,house,08,2,0,0.0
W000812,Wagner,MO,R,house,02,2,0,0.0
S395,Cindy Hyde-Smith,MS,R,senate,,2,0,0.0
G000591,Guest,MS,R,house,03,2,0,0.0
K000388,Kelly (MS),MS,R,house,01,2,0,0.0
P000601,Palazzo,MS,R,house,04,2,0,0.0
S318,Roger Wicker,MS,R,senate,,2,0,0.0
T000193,Thompson (MS),MS,D,house,02,2,2,1.0
S314,Jon Tester,MT,D,senate,,2,1,0.5
R000103,Rosendale,MT,R,house,02,2,0,0.0
S375,Steve Daines,MT,R,senate,,2,0,0.0
A000370,Adams,NC,D,house,12,2,2,1.0
B001311,Bishop (NC),NC,R,house,08,2,0,0.0
B001305,Budd,NC,R,house,13,2,0,0.0
B001251,Butterfield,NC,D,house,01,2,2,1.0
C001104,Cawthorn,NC,R,house,11,2,0,0.0
