member_id,member_name,state,party,chamber,district,vote_id,vote_name,congress,vote_position,is_pro_labor,is_not_voting
A000370,Adams,NC,D,house,12,pro_act_117,PRO Act,117,yes,True,False
A000055,Aderholt,AL,R,house,04,pro_act_117,PRO Act,117,no,False,False
A000371,Aguilar,CA,D,house,33,pro_act_117,PRO Act,117,yes,True,False
A000372,Allen,GA,R,house,12,pro_act_117,PRO Act,117,no,False,False
A000376,Allred,TX,D,house,32,pro_act_117,PRO Act,117,yes,True,False
A000369,Amodei,NV,R,house,02,pro_act_117,PRO Act,117,no,False,False
A000377,Armstrong,ND,R,house,00,pro_act_117,PRO Act,117,no,False,False
A000375,Arrington,TX,R,house,19,pro_act_117,PRO Act,117,no,False,False
A000148,Auchincloss,MA,D,house,04,pro_act_117,PRO Act,117,yes,True,False
A000378,Axne,IA,D,house,03,pro_act_117,PRO Act,117,yes,True,False
B001291,Babin,TX,R,house,36,pro_act_117,PRO Act,117,no,False,False
B001298,Bacon,NE,R,house,02,pro_act_117,PRO Act,117,no,False,False
B001307,Baird,IN,R,house,04,pro_act_117,PRO Act,117,no,False,False
B001306,Balderson,OH,R,house,12,pro_act_117,PRO Act,117,no,False,False
B001299,Banks,IN,R,house,03,pro_act_117,PRO Act,117,no,False,False
B001282,Barr,KY,R,house,06,pro_act_117,PRO Act,117,no,False,False
B001300,BarragÃ¡n,CA,D,house,44,pro_act_117,PRO Act,117,yes,True,False
B001270,Bass,CA,D,house,37,pro_act_117,PRO Act,117,yes,True,False
B001281,Beatty,OH,D,house,03,pro_act_117,PRO Act,117,yes,True,False
B000668,Bentz,OR,R,house,02,pro_act_117,PRO Act,117,no,False,False
B001287,Bera,CA,D,house,06,pro_act_117,PRO Act,117,yes,True,False
B001301,Bergman,MI,R,house,01,pro_act_117,PRO Act,117,no,False,False
B001292,Beyer,VA,D,house,08,pro_act_117,PRO Act,117,yes,True,False
B000740,Bice (OK),OK,R,house,05,pro_act_117,PRO Act,117,no,False,False
B001302,Biggs,AZ,R,house,05,pro_act_117,PRO Act,117,no,False,False
B001257,Bilirakis,FL,R,house,12,pro_act_117,PRO Act,117,no,False,False
B000490,Bishop (GA),GA,D,house,02,pro_act_117,PRO Act,117,yes,True,False
B001311,Bishop (NC),NC,R,house,08,pro_act_117,PRO Act,117,no,False,False
