fips,state_fips,state,key_vote_score,legislator_count,coverage_type
01001,01,AL,0.0,2,senate_only
01003,01,AL,0.0,4,house_and_senate
01005,01,AL,0.0,2,senate_only
01007,01,AL,0.0,3,house_and_senate
01009,01,AL,0.0,3,house_and_senate
01011,01,AL,0.0,2,senate_only
01013,01,AL,0.0,2,senate_only
01015,01,AL,0.0,3,house_and_senate
01017,01,AL,0.0,3,house_and_senate
01019,01,AL,0.0,3,house_and_senate
01021,01,AL,0.0,4,house_and_senate
01023,01,AL,0.7379,3,house_and_senate
01025,01,AL,0.7924,3,house_and_senate
01027,01,AL,0.0,3,house_and_senate
01029,01,AL,0.0,3,house_and_senate
01031,01,AL,0.0,2,senate_only
01033,01,AL,0.0,3,house_and_senate
01035,01,AL,0.0,2,senate_only
01037,01,AL,0.0,3,house_and_senate
01039,01,AL,0.0,2,senate_only
01041,01,AL,0.0,2,senate_only
01043,01,AL,0.0,3,house_and_senate
01045,01,AL,0.0,2,senate_only
01047,01,AL,0.751,3,house_and_senate
01049,01,AL,0.0,3,house_and_senate
01051,01,AL,0.0,2,senate_only
01053,01,AL,0.0,4,house_and_senate
01055,01,AL,0.0,3,house_and_senate
01057,01,AL,0.0,3,house_and_senate
01059,01,AL,0.0,3,house_and_senate
01061,01,AL,0.0,2,senate_only
01063,01,AL,0.666,3,house_and_senate
01065,01,AL,0.6649,3,house_and_senate
01067,01,AL,0.0,2,senate_only
01069,01,AL,0.0,2,senate_only
01071,01,AL,0.0,3,house_and_senate
01073,01,AL,0.1625,4,house_and_senate
01075,01,AL,0.0,3,house_and_senate
01077,01,AL,0.0,4,house_and_senate
01079,01,AL,0.0,3,house_and_senate
01081,01,AL,0.0,3,house_and_senate
01083,01,AL,0.0,3,house_and_senate
01085,01,AL,0.6881,3,house_and_senate
01087,01,AL,0.0,3,house_and_senate
01089,01,AL,0.0,3,house_and_senate
01091,01,AL,0.7506,3,house_and_senate
01093,01,AL,0.0,3,house_and_senate
01095,01,AL,0.0,3,house_and_senate
01097,01,AL,0.0,4,house_and_senate
01099,01,AL,0.0,4,house_and_senate
01101,01,AL,0.2898,3,house_and_senate
01103,01,AL,0.0,3,house_and_senate
01105,01,AL,0.6892,3,house_and_senate
01107,01,AL,0.7309,3,house_and_senate
01109,01,AL,0.0,2,senate_only
01111,01,AL,0.0,3,house_and_senate
01113,01,AL,0.0,3,house_and_senate
01115,01,AL,0.0,3,house_and_senate
01117,01,AL,0.0,3,house_and_senate
01119,01,AL,0.7358,3,house_and_senate
01121,01,AL,0.0,3,house_and_senate
01123,01,AL,0.0,3,house_and_senate
01125,01,AL,0.4235,4,house_and_senate
01127,01,AL,0.0,3,house_and_senate
01129,01,AL,0.0,4,house_and_senate
01131,01,AL,0.7323,3,house_and_senate
01133,01,AL,0.0,3,house_and_senate
02013,02,AK,0.155,3,house_and_senate
02016,02,AK,0.1035,3,house_and_senate
02020,02,AK,0.0429,3,house_and_senate
02050,02,AK,0.5163,3,house_and_senate
02060,02,AK,0.0125,3,house_and_senate
02063,02,AK,0.2002,3,house_and_senate
02066,02,AK,0.3934,3,house_and_senate
02068,02,AK,0.2493,3,house_and_senate
02070,02,AK,0.3251,3,house_and_senate
02090,02,AK,0.1615,3,house_and_senate
02100,02,AK,0.058,3,house_and_senate
