fips,county_name,state,state_p2_score,state_legislator_count,state_bills_found,coverage_type
01003,,AL,0.3233,147,0,cfscore_plus_imputed
01053,,AL,0.3233,147,0,cfscore_plus_imputed
01097,,AL,0.3233,147,0,cfscore_plus_imputed
01099,,AL,0.3233,147,0,cfscore_plus_imputed
01129,,AL,0.3233,147,0,cfscore_plus_imputed
01001,,AL,0.3233,147,0,cfscore_plus_imputed
01005,,AL,0.3233,147,0,cfscore_plus_imputed
01011,,AL,0.3233,147,0,cfscore_plus_imputed
01013,,AL,0.3233,147,0,cfscore_plus_imputed
01031,,AL,0.3233,147,0,cfscore_plus_imputed
01035,,AL,0.3233,147,0,cfscore_plus_imputed
01039,,AL,0.3233,147,0,cfscore_plus_imputed
01041,,AL,0.3233,147,0,cfscore_plus_imputed
01045,,AL,0.3233,147,0,cfscore_plus_imputed
01051,,AL,0.3233,147,0,cfscore_plus_imputed
01061,,AL,0.3233,147,0,cfscore_plus_imputed
01067,,AL,0.3233,147,0,cfscore_plus_imputed
01069,,AL,0.3233,147,0,cfscore_plus_imputed
01101,,AL,0.3233,147,0,cfscore_plus_imputed
01109,,AL,0.3233,147,0,cfscore_plus_imputed
01015,,AL,0.3233,147,0,cfscore_plus_imputed
01017,,AL,0.3233,147,0,cfscore_plus_imputed
01019,,AL,0.3233,147,0,cfscore_plus_imputed
01021,,AL,0.3233,147,0,cfscore_plus_imputed
01027,,AL,0.3233,147,0,cfscore_plus_imputed
01029,,AL,0.3233,147,0,cfscore_plus_imputed
01037,,AL,0.3233,147,0,cfscore_plus_imputed
01081,,AL,0.3233,147,0,cfscore_plus_imputed
01087,,AL,0.3233,147,0,cfscore_plus_imputed
01111,,AL,0.3233,147,0,cfscore_plus_imputed
01113,,AL,0.3233,147,0,cfscore_plus_imputed
01115,,AL,0.3233,147,0,cfscore_plus_imputed
01121,,AL,0.3233,147,0,cfscore_plus_imputed
01123,,AL,0.3233,147,0,cfscore_plus_imputed
01033,,AL,0.3233,147,0,cfscore_plus_imputed
01043,,AL,0.3233,147,0,cfscore_plus_imputed
01049,,AL,0.3233,147,0,cfscore_plus_imputed
01055,,AL,0.3233,147,0,cfscore_plus_imputed
01057,,AL,0.3233,147,0,cfscore_plus_imputed
01059,,AL,0.3233,147,0,cfscore_plus_imputed
01075,,AL,0.3233,147,0,cfscore_plus_imputed
01077,,AL,0.3233,147,0,cfscore_plus_imputed
