ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
456811,0.12940193671610745,0.9042561933077838,Williams [GA5],Democrat,progressive Democratic leader,50,416,210,1003
412541,0.7160220181221483,0.7938318369154731,Barr,Republican,moderate Republican leader,57,209,195,420
412655,0.9003216918266302,0.6237431503383564,Babin,Republican,conservative Republican,13,235,208,241
456841,0.732886375223112,0.5754000465597429,Bice,Republican,rank-and-file Republican,30,208,125,189
412683,0.815626545493244,0.6880811961494374,Biggs [AZ5],Republican,conservative Republican,108,221,81,270
412196,0.6596840083712348,0.8868401920594393,Buchanan,Republican,moderate Republican leader,45,212,352,753
400108,0.5813451655967788,0.42868100506684564,Diaz-Balart,Republican,rank-and-file Republican,10,70,83,107
412434,0.7750350172582029,0.251709802697134,Harris [MD1],Republican,lonley conservative Republican follower,5,247,14,16
456844,0.8163964553026791,0.5943332907970147,Harshbarger,Republican,conservative Republican,28,227,156,235
456816,0.7657902139423007,0.7474548612754565,Hinson,Republican,conservative Republican leader,30,227,144,219
412566,0.5830874701699521,0.7077023922182593,Joyce [OH14],Republican,moderate Republican leader,19,107,278,452
412624,0.683761467544444,0.423325476833039,Loudermilk,Republican,rank-and-file Republican,17,143,121,185
456823,0.8316593351817212,0.7529329965352448,Mann,Republican,conservative Republican leader,26,311,200,525
412811,0.7759576248620357,0.4469281388751302,Meuser,Republican,conservative Republican,19,301,80,112
412738,0.9034964435976452,0.6738678448361892,Norman,Republican,conservative Republican,21,167,146,231
412261,0.49091932972272884,0.33457418543442924,Scalise,Republican,centrist Republican,3,5,5,5
412648,0.7566004004672962,0.7549567078170047,Stefanik,Republican,conservative Republican leader,29,234,51,61
412766,0.8891013278799689,0.8519537877040136,Steube,Republican,conservative Republican leader,99,284,287,708
412720,0.8917727193304212,0.8431628048247211,Tenney,Republican,conservative Republican leader,72,570,267,651
412578,0.7769796817616844,0.5486492604782557,Williams [TX25],Republican,conservative Republican,38,198,162,344
412520,0.13287211666146934,0.7143361198512382,Takano,Democrat,progressive Democratic leader,23,323,227,528
400295,0.0,0.5941094718406607,Norton,Democrat,progressive Democrat,95,1684,225,300
400245,0.2785335288120985,0.6012956672421578,Lofgren,Democrat,rank-and-file Democrat,21,364,163,334
412561,0.3101017483969177,0.3371344018424098,Jeffries,Democrat,rank-and-file Democrat,1,29,13,13
412763,0.13859054430807607,0.7204717838126035,Hayes,Democrat,progressive Democratic leader,34,468,221,1195
412193,0.32626597601527346,0.6209694006648272,Courtney,Democrat,rank-and-file Democrat,10,200,176,333
412282,0.32479438000736194,0.1372573488221395,Himes,Democrat,moderate Democratic follower,3,166,6,6
412802,0.49847392965632575,0.5190679645232991,Lee [NV3],Democrat,centrist Democrat,22,283,80,119
412787,0.05747866510730909,0.49952517904231664,Tlaib,Democrat,progressive Democrat,43,992,151,631
412258,0.11266697832483298,0.6099567653142217,Carson,Democrat,progressive Democrat,16,770,194,528
456806,0.7536752557031324,0.7037690064900586,Cammack,Republican,rank-and-file Republican,27,118,182,272
456828,0.6964984255382962,0.5791460377225965,Fischbach,Republican,rank-and-file Republican,26,143,117,227
412705,0.7981836759023454,0.6596261017741407,Higgins,Republican,conservative Republican,34,235,166,307
456859,0.6666653358104593,0.4791130878167188,Letlow,Republican,rank-and-file Republican,20,129,66,78
412417,0.6754324222197459,0.32324775660738964,Scott [GA8],Republican,rank-and-file Republican,19,123,68,74
412550,0.7355662576631165,0.8079599087594836,Hudson,Republican,moderate Republican leader,16,152,341,530
400068,0.6240844620452689,0.14376644917710368,Carter [TX31],Republican,moderate Republican follower,4,92,16,16
412195,0.26215159396776827,0.6573208283136017,Castor,Democrat,rank-and-file Democrat,23,331,88,146
456847,0.8312251448249741,0.6715816338653091,Jackson [TX13],Republican,conservative Republican,33,142,169,347
412673,0.6733086602315987,0.48445772289313715,Kelly [MS1],Republican,rank-and-file Republican,8,99,149,169
412523,0.31384916769381915,0.5611948458656894,Peters,Democrat,rank-and-file Democrat,29,405,204,390
412764,0.6405748030463938,0.611576566934766,Waltz,Republican,rank-and-file Republican,0,0,0,0
412613,0.14036554299234213,0.38176156109748516,DeSaulnier,Democrat,progressive Democrat,19,331,59,76
400416,0.09346742206438009,0.5443358033239767,Velázquez,Democrat,progressive Democrat,37,440,114,225
412501,0.16809609029250394,0.7199190999528889,Bonamici,Democrat,progressive Democratic leader,59,540,204,779
412713,0.6903148109695123,0.8047477040459226,Bacon,Republican,moderate Republican leader,42,634,306,777
400030,0.3735468203935735,0.36629169898313235,Bishop,Democrat,centrist Democrat,7,361,28,29
412686,0.2994614141277025,0.6147473208542994,Carbajal,Democrat,rank-and-file Democrat,35,532,126,266
412688,0.34041895696405444,0.5501438005073275,Correa,Democrat,rank-and-file Democrat,17,307,121,163
400618,0.3827245849356345,0.5048613221122171,Costa,Democrat,centrist Democrat,29,427,170,280
412721,0.48531018622454825,0.9429227731731332,Fitzpatrick,Republican,centrist Republican leader,80,1103,322,1557
412714,0.4973274884263718,0.8270289311208213,Gottheimer,Democrat,centrist Democratic leader,78,828,227,741
400162,0.11016268588573122,0.6333490385123999,Grijalva [AZ7],Democrat,progressive Democrat,2,122,1,1
400263,0.1292994496145457,0.6183225229091702,McGovern,Democrat,progressive Democrat,32,493,160,332
412560,0.1697149616425053,0.8049588120670071,Meng,Democrat,progressive Democratic leader,34,370,213,838
412795,0.48149169994227964,0.7628102675060906,Pappas,Democrat,centrist Democratic leader,52,345,230,591
412695,0.32040437921045706,0.37767456173761704,Soto,Democrat,rank-and-file Democrat,17,470,75,122
412644,0.0776346895454302,0.7508973317941815,Watson Coleman,Democrat,progressive Democratic leader,52,565,212,940
400004,0.6535256489711704,0.475896403229426,Aderholt,Republican,rank-and-file Republican,12,141,153,242
412625,0.729382762594728,0.5795795094188507,Allen,Republican,rank-and-file Republican,20,130,164,179
412726,0.6581850296892038,0.9204287198309167,Arrington,Republican,moderate Republican leader,58,90,380,745
412747,0.6946567887103303,0.5621374296716043,Balderson,Republican,rank-and-file Republican,22,171,159,219
456842,0.6107706138083383,0.1253717582275386,Bentz,Republican,moderate Republican follower,12,96,25,27
412250,0.7247604499500513,0.9453743204287702,Bilirakis,Republican,moderate Republican leader,29,299,416,958
412629,0.7812855415333534,0.7415259462883935,Bost,Republican,conservative Republican leader,25,286,220,429
412622,0.800199149408421,0.8289850834054063,Carter [GA1],Republican,conservative Republican leader,63,355,259,508
456813,0.7059168313086243,0.7610852061627219,Clyde,Republican,moderate Republican leader,31,151,124,310
456808,0.9017816621867238,0.5297379453005033,Donalds,Republican,conservative Republican,26,251,73,100
412639,0.6150259414802676,0.6996500535723909,Emmer,Republican,rank-and-file Republican,9,28,220,360
412735,0.6595649938937598,0.6368303330476468,Estes,Republican,rank-and-file Republican,18,114,187,316
412773,0.697174798484708,0.24773199523038733,Fulcher,Republican,moderate Republican follower,17,188,16,20
456809,0.6791580390048613,0.38626774202449277,Gimenez,Republican,rank-and-file Republican,10,130,48,55
412278,0.63875500227161,0.4185623705155419,Guthrie,Republican,rank-and-file Republican,10,86,26,26
412706,0.6314009203107597,0.6421833410116277,Johnson [LA4],Republican,rank-and-file Republican,6,3,196,196
412295,0.6313146581424308,0.77145962009791,McClintock,Republican,moderate Republican leader,24,65,252,352
412837,0.7025594126700854,0.649498974998481,Miller [WV1],Republican,rank-and-file Republican,27,235,154,265
412660,0.7146203618630974,0.7520367490752355,Newhouse,Republican,moderate Republican leader,28,191,209,442
412608,0.6717926983916678,0.609480718682418,Palmer,Republican,rank-and-file Republican,14,134,256,345
412569,0.7539371014840928,0.4918733419082624,Perry,Republican,rank-and-file Republican,46,163,73,163
456846,0.8002020551528705,0.8493114376887506,Pfluger,Republican,conservative Republican leader,56,299,213,559
412792,0.7600615185307125,0.7527006458542066,Stauber,Republican,conservative Republican leader,23,301,340,471
412548,0.6423634915051057,0.8624634365769179,Wagner,Republican,moderate Republican leader,18,140,377,569
412213,0.6624542296256881,0.6212790305484277,Walberg,Republican,rank-and-file Republican,23,103,86,111
412574,1.0,0.6731205133871123,Weber,Republican,conservative Republican,21,449,132,211
400360,0.0657339098837986,0.8786502898859783,Schakowsky,Democrat,progressive Democratic leader,35,522,178,561
412576,0.2533866649825481,0.5296158291656916,Castro,Democrat,rank-and-file Democrat,21,232,127,235
412236,0.19337924908752804,0.7276892043269279,Cohen,Democrat,progressive Democratic leader,53,628,172,369
400093,0.15144776941427404,0.669659824684097,Davis [IL7],Democrat,progressive Democrat,18,526,197,353
400103,0.2519501073129446,0.9172966019398962,DeLauro,Democrat,moderate Democratic leader,34,208,248,1802
400111,0.23101494263433564,0.7787098184215535,Doggett,Democrat,moderate Democratic leader,22,397,201,699
412825,0.22827405135609236,0.48365124016794964,Escobar,Democrat,rank-and-file Democrat,14,263,118,138
412718,0.12453546457818337,0.7223140973721512,Espaillat,Democrat,progressive Democratic leader,47,294,252,461
412774,0.08137110262365659,0.406008462541907,García,Democrat,progressive Democrat,5,486,50,65
412827,0.17200386577686,0.6455122062519444,Garcia [TX29],Democrat,progressive Democrat,19,358,218,562
456804,0.17731880728113747,0.6249130416037331,Jacobs,Democrat,progressive Democrat,28,337,187,491
412730,0.11672013545729598,0.8424170921008316,Jayapal,Democrat,progressive Democratic leader,37,501,202,1567
400211,0.33302201267377196,0.5792849886581,Kaptur,Democrat,rank-and-file Democrat,13,181,71,97
412684,0.20124137270553488,0.5466578261801958,Khanna,Democrat,rank-and-file Democrat,43,454,99,189
412701,0.25502310353767965,0.6479009297541195,Krishnamoorthi,Democrat,rank-and-file Democrat,38,662,210,446
412749,0.31543558692892026,0.6315275487982241,Morelle,Democrat,rank-and-file Democrat,31,298,223,411
412804,0.12962144382529567,0.4684677206624491,Ocasio-Cortez,Democrat,progressive Democrat,7,344,119,148
412791,0.13023584447156597,0.5825337875222798,Omar,Democrat,progressive Democrat,16,407,143,378
412307,0.22520805733599664,0.4225236120873318,Pingree,Democrat,rank-and-file Democrat,22,523,102,152
412585,0.171391912340956,0.6915890967239928,Pocan,Democrat,progressive Democratic leader,22,494,191,564
