ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
412549,0.8642242276965586,0.7743940814716929,Daines,Republican,moderate Republican leader,57,313,98,547
412251,0.8626290366011858,0.7601498038258091,Barrasso,Republican,moderate Republican leader,55,214,99,501
400032,0.9796469175649387,0.7684347607261368,Blackburn,Republican,conservative Republican leader,132,444,93,506
400061,0.7339199536762288,0.5094168555924504,Capito,Republican,rank-and-file Republican,25,317,71,147
412555,0.9001661212646586,0.4707736321114152,Cramer,Republican,conservative Republican,29,342,90,262
300030,0.8829212161900908,0.7041457186054914,Crapo,Republican,conservative Republican leader,28,278,100,500
300048,0.7088450551063811,0.9639885955603285,Grassley,Republican,moderate Republican leader,86,227,97,779
412573,0.941046342909978,0.7985578753152764,Cruz,Republican,conservative Republican leader,120,243,88,594
456798,0.8917288722159252,0.5880200384015197,Hagerty,Republican,conservative Republican,24,178,79,202
412840,0.8516405923280449,0.46265744455318997,Hawley,Republican,rank-and-file Republican,48,160,99,258
412495,0.8719528945232972,0.6939910709202783,Lee,Republican,rank-and-file Republican,124,204,76,428
412294,0.9151193238195948,0.3456000960618616,Lummis,Republican,conservative Republican,44,315,48,146
412704,0.874299796182531,0.6814568527261796,Marshall,Republican,rank-and-file Republican,68,267,89,314
412492,0.6803886239524993,0.36342314360777234,Paul,Republican,centrist Republican,52,70,48,102
412491,0.8152779692845704,0.8123597117466547,Rubio,Republican,moderate Republican leader,0,2,0,0
412838,1.0,0.7016092770840019,Scott [FL],Republican,conservative Republican,167,359,84,377
412471,0.8280759505823567,0.7970888070937546,Scott [SC],Republican,moderate Republican leader,59,161,84,369
456796,0.8733486632666839,0.3214241660007193,Tuberville,Republican,rank-and-file Republican,38,224,56,143
412428,0.7196098714408015,0.6928818907065508,Young,Republican,rank-and-file Republican,57,212,92,412
400040,0.7637802728824525,0.572309843388769,Boozman,Republican,rank-and-file Republican,19,236,66,108
412269,0.7733176049393479,0.7274747163347001,Cassidy,Republican,moderate Republican leader,105,312,99,489
412508,0.8861851912962895,0.5883470048986812,Cotton,Republican,conservative Republican,90,171,86,257
412667,0.8165373522368331,0.9238833600602699,Ernst,Republican,moderate Republican leader,92,191,100,660
412743,0.8856807609909086,0.41166237112860926,Hyde-Smith,Republican,conservative Republican,38,301,66,162
412679,0.8195730383928036,0.4750638731323017,Kennedy,Republican,rank-and-file Republican,75,171,71,205
412668,0.7946184267834496,0.5785746473127231,Tillis,Republican,rank-and-file Republican,55,363,87,336
400432,0.8051387869161063,0.5517829836105418,Wicker,Republican,rank-and-file Republican,40,259,88,193
412464,0.9360842237794957,0.6954682519540005,Lankford,Republican,conservative Republican,69,301,80,367
300027,0.8369976283609908,0.9235577717187521,Cornyn,Republican,moderate Republican leader,125,281,91,592
412556,0.780784211347315,0.5082895352254377,Fischer,Republican,rank-and-file Republican,32,174,89,254
412494,0.8187135059708078,0.3670472472272494,Hoeven,Republican,rank-and-file Republican,19,206,64,130
400284,0.7388606881559148,0.6443228384696926,Moran,Republican,rank-and-file Republican,76,189,94,404
412322,0.8905612584153054,0.7180314382980855,Risch,Republican,conservative Republican leader,54,300,83,447
412665,0.7316712278778527,0.633229855707196,Sullivan,Republican,rank-and-file Republican,62,251,81,327
300025,0.5207022260619125,0.5577405948015909,Collins,Republican,centrist Republican,29,293,73,253
300047,0.7468250562859058,0.6193846156060441,Graham,Republican,rank-and-file Republican,36,161,95,222
412496,0.7717256712785879,0.3155047249158596,Johnson,Republican,rank-and-file Republican,21,54,38,93
300072,0.6857721467012635,0.34477746906597834,McConnell,Republican,centrist Republican,13,59,18,24
300075,0.5085020041083042,0.611328824753043,Murkowski,Republican,centrist Republican,52,208,81,382
412669,0.7705778994155679,0.5786720853893291,Rounds,Republican,rank-and-file Republican,54,237,75,196
400546,0.7948271838730254,0.616685568482256,Thune,Republican,rank-and-file Republican,50,64,75,136
412325,0.04907464689070332,0.7341618442716791,Merkley,Democrat,progressive Democrat,103,587,79,640
412200,0.12550784553437905,0.609238606784374,Hirono,Democrat,progressive Democrat,56,451,64,486
400253,0.06764606527524906,0.9030217467840208,Markey,Democrat,progressive Democratic leader,137,417,90,887
400415,0.11438400622368101,0.5282303299958158,Van Hollen,Democrat,progressive Democrat,61,572,65,464
412681,0.37378985291902017,0.7503168950227739,Cortez Masto,Democrat,moderate Democratic leader,104,356,90,538
300038,0.16628426129637047,0.8419468885264703,Durbin,Democrat,moderate Democratic leader,128,430,81,672
300081,0.21123568709222315,0.5404953156731448,Reed,Democrat,rank-and-file Democrat,38,268,80,252
412742,0.16468522420547677,0.542819968456662,Smith,Democrat,rank-and-file Democrat,37,419,62,337
412542,0.06741277882470872,0.6894590358643763,Warren,Democrat,progressive Democrat,73,427,62,538
412247,0.18829784687128628,0.692534796290409,Whitehouse,Democrat,rank-and-file Democrat,89,360,81,595
412582,0.29486443439381144,0.7812664267006446,Kaine,Democrat,moderate Democratic leader,78,439,89,638
400013,0.2156181913862964,0.676813314471811,Baldwin,Democrat,rank-and-file Democrat,44,366,75,344
412330,0.35938744324190247,0.5119240922090869,Bennet,Democrat,rank-and-file Democrat,64,322,99,267
412598,0.10048480325541943,0.8453213203629585,Booker,Democrat,progressive Democratic leader,99,630,80,597
412390,0.3997639183268767,0.6935824255599152,Coons,Democrat,rank-and-file Democrat,55,495,86,333
412533,0.16370349851552823,0.5925131886232651,Duckworth,Democrat,rank-and-file Democrat,52,484,65,298
412223,0.23015466447741809,0.7041176107602478,Gillibrand,Democrat,rank-and-file Democrat,57,415,72,344
412680,0.5438923948660955,0.46533830803418486,Hassan,Democrat,centrist Democrat,47,298,62,122
412281,0.25298075971823686,0.5461559986744116,Heinrich,Democrat,rank-and-file Democrat,44,368,65,251
456797,0.406969625325728,0.2435761680209972,Hickenlooper,Democrat,centrist Democratic follower,34,348,50,88
412545,0.3754620415134013,0.5099803573752816,King,Independent,centrist Independent,31,400,74,175
412242,0.2350754895880532,1.0,Klobuchar,Democrat,moderate Democratic leader,88,595,92,442
412293,0.2643418348708425,0.48420693030715195,Luján,Democrat,rank-and-file Democrat,70,416,74,288
412194,0.19555716221292938,0.37978127428136377,Murphy,Democrat,rank-and-file Democrat,34,247,52,186
300076,0.22623836618481305,0.6563307396930749,Murray,Democrat,rank-and-file Democrat,35,258,60,470
456857,0.4402663296818987,0.2993523276267704,Ossoff,Democrat,centrist Democratic follower,18,204,30,40
456856,0.10078204940568498,0.772111740891886,Padilla,Democrat,progressive Democratic leader,92,578,100,672
412305,0.49814309162213644,0.6282859144061468,Peters,Democrat,centrist Democrat,77,244,99,345
400357,0.0,0.41648421776470274,Sanders,Independent,left-leaning Independent,48,401,47,346
412507,0.25772937877741425,0.7374943902301605,Schatz,Democrat,rank-and-file Democrat,49,279,85,435
412321,0.4166560292560938,0.5173086386467911,Warner,Democrat,centrist Democrat,42,277,74,181
456858,0.5631835052777111,0.6584979602489563,Warnock,Democrat,centrist Democrat,25,320,98,170
300100,0.09465057495751755,0.6403940218701588,Wyden,Democrat,progressive Democrat,83,493,73,495
412490,0.07808797946930876,0.8786936031482457,Blumenthal,Democrat,progressive Democratic leader,111,690,88,806
300087,0.31118018574538653,0.5889111393516276,Schumer,Democrat,rank-and-file Democrat,25,227,53,192
412323,0.38737559142254324,0.8932275035064703,Shaheen,Democrat,moderate Democratic leader,87,469,87,580
412715,0.3882508151391715,0.6037459305833046,Rosen,Democrat,rank-and-file Democrat,68,367,80,257
300018,0.33477768133043573,0.4162408677530119,Cantwell,Democrat,rank-and-file Democrat,23,215,59,125
456794,0.47537644466020024,0.3231413778551654,Kelly,Democrat,centrist Democrat,42,350,65,162
456874,0.850562008727372,0.3937785389024318,Britt,Republican,rank-and-file Republican,26,302,79,229
412712,0.9148892735667498,0.4174053649203352,Budd,Republican,conservative Republican,53,365,71,205
412568,0.7360283546326205,0.2970379310114859,Mullin,Republican,moderate Republican follower,23,157,71,153
456952,0.8799912449643745,0.3801187825385997,Ricketts,Republican,rank-and-file Republican,59,332,69,224
456875,0.8013416983257343,0.3001767080507666,Schmitt,Republican,rank-and-file Republican,48,156,74,189
456876,0.7022151608512758,0.09439101384373727,Vance,Republican,centrist Republican follower ,0,2,0,0
412239,0.15994510703574977,0.38623377233955253,Welch,Democrat,rank-and-file Democrat,70,566,72,310
456877,0.32478821958084036,0.24331944462004387,Fetterman,Democrat,moderate Democratic follower,27,338,54,117
412797,0.3173972205874433,0.08510375818265511,Kim,Democrat,moderate Democratic follower,34,373,34,50
400361,0.30736584641852616,0.20240537624426697,Schiff,Democrat,moderate Democratic follower,66,507,55,213
412702,0.7160665990482047,0.2639866072138865,Banks,Republican,moderate Republican follower,91,218,72,220
412740,0.618417542708895,0.11579446874679866,Curtis,Republican,centrist Republican follower ,43,197,44,85
456968,0.705160761320783,0.22387194932076293,McCormick,Republican,centrist Republican follower ,37,259,78,158
456967,0.7060643338117157,0.04565947703903962,Moreno,Republican,centrist Republican follower ,25,176,22,30
456966,0.7301650857173667,0.21623906606813315,Sheehy,Republican,moderate Republican follower,63,296,70,160
456965,0.32288421357179137,0.173771903125782,Alsobrooks,Democrat,moderate Democratic follower,30,366,48,177
412612,0.4310969401438865,0.133794495803167,Gallego,Democrat,centrist Democratic follower,55,361,53,85
412784,0.4607946382337277,0.0371874933136969,Slotkin,Democrat,centrist Democratic follower,21,249,18,21
457033,0.7063332455964855,0.2108241842191705,Moody,Republican,moderate Republican follower,37,187,68,150
456969,0.6988976999882424,0.1014856179573176,Justice,Republican,centrist Republican follower ,13,259,42,63
457032,0.7005768375333263,0.09185663208735276,Husted,Republican,centrist Republican follower ,40,140,38,61
412689,0.38169450172879893,0.14737616996921477,Blunt Rochester,Democrat,moderate Democratic follower,33,278,53,110
457040,0.5319197490624086,0.0,Armstrong,Republican,centrist Republican follower ,0,14,0,0
