fips,county_name,state,margin_2024
56045,Weston County,WY,-77.02
56043,Washakie County,WY,-64.28
56041,Uinta County,WY,-63.68
56039,Teton County,WY,35.28
56037,Sweetwater County,WY,-53.17
56035,Sublette County,WY,-61.11
56033,Sheridan County,WY,-50.07
56031,Platte County,WY,-65.45
56029,Park County,WY,-59.28
56027,Niobrara County,WY,-80.98
56025,Natrona County,WY,-48.63
56023,Lincoln County,WY,-68.34
56021,Laramie County,WY,-32.42
56019,Johnson County,WY,-63.68
56017,Hot Springs County,WY,-61.21
56015,Goshen County,WY,-60.92
56013,Fremont County,WY,-37.36
56011,Crook County,WY,-77.99
56009,Converse County,WY,-73.54
56007,Carbon County,WY,-58.13
56005,Campbell County,WY,-76.78
56003,Big Horn County,WY,-72.48
56001,Albany County,WY,-3.17
55141,Wood County,WI,-19.92
55139,Winnebago County,WI,-4.75
55137,Waushara County,WI,-35.19
55135,Waupaca County,WI,-33.41
55133,Waukesha County,WI,-19.75
55131,Washington County,WI,-36.31
55129,Washburn County,WI,-28.26
55127,Walworth County,WI,-22.23
55125,Vilas County,WI,-23.09
55123,Vernon County,WI,-7.8
55121,Trempealeau County,WI,-21.42
55119,Taylor County,WI,-48.21
55117,Sheboygan County,WI,-16.36
55115,Shawano County,WI,-36.3
55113,Sawyer County,WI,-16.39
55111,Sauk County,WI,-1.67
55109,St. Croix County,WI,-19.29
55107,Rusk County,WI,-38.06
55105,Rock County,WI,7.29
55103,Richland County,WI,-13.13
55101,Racine County,WI,-6.17
55099,Price County,WI,-31.14
55097,Portage County,WI,1.2
55095,Polk County,WI,-30.94
55093,Pierce County,WI,-16.77
55091,Pepin County,WI,-29.28
55089,Ozaukee County,WI,-10.49
55087,Outagamie County,WI,-10.18
55085,Oneida County,WI,-17.61
55083,Oconto County,WI,-43.04
55081,Monroe County,WI,-26.1
55079,Milwaukee County,WI,38.52
55078,Menominee County,WI,61.7
55077,Marquette County,WI,-29.65
55075,Marinette County,WI,-37.99
55073,Marathon County,WI,-18.66
55071,Manitowoc County,WI,-23.36
55069,Lincoln County,WI,-25.17
55067,Langlade County,WI,-34.62
55065,Lafayette County,WI,-20.23
55063,La Crosse County,WI,9.36
55061,Kewaunee County,WI,-33.76
55059,Kenosha County,WI,-6.25
55057,Juneau County,WI,-32.15
55055,Jefferson County,WI,-16.38
55053,Jackson County,WI,-19.49
55051,Iron County,WI,-26.23
55049,Iowa County,WI,7.64
55047,Green Lake County,WI,-36.34
55045,Green County,WI,0.27
55043,Grant County,WI,-18.18
55041,Forest County,WI,-33.39
55039,Fond du Lac County,WI,-28.71
55037,Florence County,WI,-49.81
55035,Eau Claire County,WI,10.59
55033,Dunn County,WI,-15.9
55031,Douglas County,WI,5.33
55029,Door County,WI,2.23
55027,Dodge County,WI,-32.91
55025,Dane County,WI,51.68
55023,Crawford County,WI,-13.79
55021,Columbia County,WI,-4.59
55019,Clark County,WI,-38.99
55017,Chippewa County,WI,-22.98
55015,Calumet County,WI,-19.97
55013,Burnett County,WI,-30.93
55011,Buffalo County,WI,-30.26
55009,Brown County,WI,-7.52
55007,Bayfield County,WI,11.13
55005,Barron County,WI,-29.08
55003,Ashland County,WI,4.71
55001,Adams County,WI,-25.83
54109,Wyoming County,WV,-73.01
54107,Wood County,WV,-43.05
54105,Wirt County,WV,-66.29
54103,Wetzel County,WV,-55.51
54101,Webster County,WV,-66.68
54099,Wayne County,WV,-53.36
54097,Upshur County,WV,-56.8
54095,Tyler County,WV,-67.38
54093,Tucker County,WV,-48.93
54091,Taylor County,WV,-51.31
54089,Summers County,WV,-51.39
54087,Roane County,WV,-53.81
54085,Ritchie County,WV,-72.99
54083,Randolph County,WV,-46.13
54081,Raleigh County,WV,-54.34
54079,Putnam County,WV,-46.33
54077,Preston County,WV,-57
54075,Pocahontas County,WV,-50.29
54073,Pleasants County,WV,-59.02
54071,Pendleton County,WV,-58.6
54069,Ohio County,WV,-26.04
54067,Nicholas County,WV,-60.19
54065,Morgan County,WV,-55.64
54063,Monroe County,WV,-61.79
54061,Monongalia County,WV,-4.39
54059,Mingo County,WV,-73.78
54057,Mineral County,WV,-60.17
54055,Mercer County,WV,-57.33
54053,Mason County,WV,-58.04
54051,Marshall County,WV,-50.04
54049,Marion County,WV,-31.24
54047,McDowell County,WV,-60.35
54045,Logan County,WV,-66.72
54043,Lincoln County,WV,-62.49
54041,Lewis County,WV,-59.28
54039,Kanawha County,WV,-17.44
54037,Jefferson County,WV,-15.8
54035,Jackson County,WV,-56.22
54033,Harrison County,WV,-40.95
54031,Hardy County,WV,-57.71
54029,Hancock County,WV,-46.83
54027,Hampshire County,WV,-62.61
54025,Greenbrier County,WV,-42.15
54023,Grant County,WV,-78.97
54021,Gilmer County,WV,-57
54019,Fayette County,WV,-41.76
54017,Doddridge County,WV,-73.31
54015,Clay County,WV,-62.25
54013,Calhoun County,WV,-64.82
54011,Cabell County,WV,-21.89
54009,Brooke County,WV,-44.62
54007,Braxton County,WV,-51.91
54005,Boone County,WV,-57.39
54003,Berkeley County,WV,-35.79
54001,Barbour County,WV,-60.55
53077,Yakima County,WA,-14.34
53075,Whitman County,WA,8.97
53073,Whatcom County,WA,24.88
53071,Walla Walla County,WA,-8.07
53069,Wahkiakum County,WA,-18.11
53067,Thurston County,WA,20.4
53065,Stevens County,WA,-44.15
53063,Spokane County,WA,-4.97
53061,Snohomish County,WA,18.96
53059,Skamania County,WA,-11.13
53057,Skagit County,WA,8.86
53055,San Juan County,WA,51.39
53053,Pierce County,WA,10.76
53051,Pend Oreille County,WA,-39.6
53049,Pacific County,WA,-1.3
53047,Okanogan County,WA,-14.98
53045,Mason County,WA,-2.5
53043,Lincoln County,WA,-50.57
53041,Lewis County,WA,-33
53039,Klickitat County,WA,-9.32
53037,Kittitas County,WA,-14.58
53035,Kitsap County,WA,20.94
53033,King County,WA,51.69
53031,Jefferson County,WA,45.32
53029,Island County,WA,16.57
53027,Grays Harbor County,WA,-6.03
53025,Grant County,WA,-37.48
53023,Garfield County,WA,-47.88
53021,Franklin County,WA,-22.69
53019,Ferry County,WA,-33.01
53017,Douglas County,WA,-26.98
53015,Cowlitz County,WA,-19.92
53013,Columbia County,WA,-43.46
53011,Clark County,WA,6.99
53009,Clallam County,WA,7.87
53007,Chelan County,WA,-9.47
53005,Benton County,WA,-21.9
53003,Asotin County,WA,-25.64
53001,Adams County,WA,-43.26
51840,Winchester city,VA,9.77
51830,Williamsburg city,VA,44.5
51820,Waynesboro city,VA,-5.69
51810,Virginia Beach city,VA,2.65
51800,Suffolk city,VA,15.9
51790,Staunton city,VA,13.38
51775,Salem city,VA,-19.26
51770,Roanoke city,VA,23.62
51760,Richmond city,VA,66.27
51750,Radford city,VA,0.52
51740,Portsmouth city,VA,38.63
51735,Poquoson city,VA,-45.87
51730,Petersburg city,VA,72.78
51720,Norton city,VA,-43.58
51710,Norfolk city,VA,41.53
51700,Newport News city,VA,28.8
51690,Martinsville city,VA,22.62
51685,Manassas Park city,VA,19.98
51683,Manassas city,VA,14.84
51680,Lynchburg city,VA,-7.93
51678,Lexington city,VA,26.72
51670,Hopewell city,VA,13.77
51660,Harrisonburg city,VA,25.37
51650,Hampton city,VA,39.87
51640,Galax city,VA,-43.91
51630,Fredericksburg city,VA,31.72
51620,Franklin city,VA,22.78
51610,Falls Church city,VA,62.21
51600,Fairfax city,VA,33.43
51595,Emporia city,VA,30.99
51590,Danville city,VA,21.06
51580,Covington city,VA,-33.29
51570,Colonial Heights city,VA,-32.45
51550,Chesapeake city,VA,3.8
51540,Charlottesville city,VA,68.69
51530,Buena Vista city,VA,-44.44
51520,Bristol city,VA,-39.66
51510,Alexandria city,VA,57.72
51199,York County,VA,-6.14
51197,Wythe County,VA,-59.54
51195,Wise County,VA,-63.3
51193,Westmoreland County,VA,-14.29
51191,Washington County,VA,-53.32
