state_fips,chamber,sld_code,county_fips,block_count
01,L,001,01077,2870
01,L,002,01077,2678
01,L,002,01083,1756
01,L,003,01033,3210
01,L,003,01077,1340
01,L,004,01083,1206
01,L,004,01089,364
01,L,004,01103,2438
01,L,005,01083,3274
01,L,006,01083,754
01,L,006,01089,848
01,L,007,01033,818
01,L,007,01079,4034
01,L,007,01103,554
01,L,008,01103,2242
01,L,009,01103,4378
01,L,010,01089,2358
01,L,011,01009,1270
01,L,011,01043,3078
01,L,012,01043,3910
01,L,013,01127,4280
01,L,014,01043,656
01,L,014,01073,356
01,L,014,01127,2388
01,L,014,01133,2056
01,L,015,01073,1378
01,L,015,01117,278
01,L,016,01057,2490
01,L,016,01073,1512
01,L,016,01125,1986
01,L,017,01075,2356
01,L,017,01093,4926
01,L,017,01133,644
01,L,018,01033,1826
01,L,018,01059,3708
01,L,019,01089,1812
01,L,020,01089,2158
01,L,021,01089,2532
01,L,022,01071,478
01,L,022,01089,3024
01,L,023,01071,5894
01,L,024,01049,5246
01,L,025,01083,146
01,L,025,01089,1498
01,L,026,01095,3158
01,L,027,01095,4392
01,L,028,01055,4264
01,L,029,01015,2272
01,L,029,01055,2112
01,L,030,01055,1996
01,L,030,01115,1326
01,L,031,01051,3154
01,L,032,01015,2688
01,L,032,01121,1890
01,L,033,01037,1872
01,L,033,01121,3770
01,L,034,01009,3538
01,L,035,01015,852
01,L,035,01027,2432
01,L,035,01121,1812
01,L,036,01015,1808
01,L,036,01115,1312
01,L,036,01121,336
01,L,037,01017,1524
01,L,037,01081,818
01,L,037,01111,2838
01,L,038,01017,1910
01,L,038,01081,1058
01,L,039,01019,3130
01,L,039,01049,2026
01,L,040,01015,2126
01,L,040,01029,2188
01,L,041,01117,4762
01,L,042,01001,748
01,L,042,01021,3210
01,L,043,01117,2112
01,L,044,01073,3148
01,L,045,01073,1562
01,L,045,01115,198
01,L,045,01117,1302
01,L,046,01073,1902
01,L,047,01073,1658
01,L,048,01073,1620
01,L,048,01117,290
01,L,049,01007,1444
01,L,049,01021,288
01,L,049,01117,1802
01,L,050,01115,2494
01,L,051,01073,2740
01,L,052,01073,3264
01,L,053,01089,2300
01,L,054,01073,4278
01,L,055,01073,5116
01,L,056,01073,3898
01,L,057,01073,3910
01,L,058,01073,2326
01,L,059,01073,4508
01,L,060,01073,5762
01,L,061,01107,1544
01,L,061,01125,1498
01,L,062,01125,3334
01,L,063,01125,1858
01,L,064,01003,2862
01,L,065,01003,812
01,L,065,01023,1704
01,L,065,01025,1216
01,L,065,01129,2050
01,L,066,01003,1074
01,L,066,01053,3830
01,L,067,01047,4016
01,L,067,01105,1320
01,L,068,01025,1348
01,L,068,01035,1012
01,L,068,01091,1048
01,L,068,01099,2316
01,L,068,01105,152
01,L,068,01131,350
01,L,069,01001,1554
01,L,069,01085,1306
01,L,069,01101,354
01,L,069,01131,1146
01,L,070,01125,1980
01,L,071,01091,1650
01,L,071,01107,684
01,L,071,01119,1832
01,L,071,01125,1452
01,L,072,01007,736
01,L,072,01063,1712
01,L,072,01065,1748
01,L,072,01125,1026
01,L,073,01117,1834
01,L,074,01101,1270
01,L,075,01051,688
01,L,075,01101,1530
01,L,076,01101,1170
01,L,077,01101,2694
01,L,078,01101,1936
01,L,079,01081,1172
01,L,080,01081,1046
01,L,080,01113,1054
01,L,081,01081,304
01,L,081,01123,4256
01,L,082,01081,930
01,L,082,01087,2644
01,L,083,01081,1154
01,L,083,01113,1366
01,L,084,01005,2566
01,L,084,01011,1146
01,L,084,01113,1122
01,L,085,01067,2224
01,L,085,01069,2042
01,L,086,01069,3794
01,L,087,01061,3916
01,L,087,01069,944
01,L,088,01001,722
01,L,088,01051,1132
01,L,089,01045,1114
01,L,089,01109,2868
01,L,090,01013,2476
01,L,090,01031,422
01,L,090,01035,900
01,L,090,01041,1852
01,L,090,01101,632
01,L,091,01031,2856
01,L,092,01031,496
01,L,092,01039,5074
01,L,092,01053,800
01,L,093,01045,2828
01,L,093,01069,444
01,L,094,01003,2126
01,L,095,01003,2918
01,L,096,01003,2040
01,L,097,01097,3690
01,L,098,01097,3146
01,L,099,01097,2138
01,L,100,01097,832
01,L,101,01097,1312
01,L,102,01003,842
01,L,102,01097,3314
01,L,103,01097,1678
01,L,104,01097,1148
01,L,105,01097,2574
01,U,001,01077,6888
01,U,001,01083,3508
01,U,002,01083,598
01,U,002,01089,4170
01,U,003,01083,1500
01,U,003,01089,744
01,U,003,01103,9612
01,U,004,01043,7644
01,U,004,01093,4926
01,U,004,01133,2700
01,U,005,01057,2490
01,U,005,01073,1612
01,U,005,01075,2356
01,U,005,01125,2346
01,U,005,01127,6668
01,U,006,01033,5854
01,U,006,01059,3708
01,U,006,01079,4034
01,U,006,01083,1530
01,U,007,01089,7190
01,U,008,01049,5246
01,U,008,01071,6372
01,U,008,01089,2014
01,U,009,01009,1122
01,U,009,01089,2776
